Product Name,Price,Shipping and Time,Rating,Review
"Sony Wireless Headphone,Black, WF-1000XM3/B","4,222.","Get it as soon as Wednesday, December 21EGP 21.00 shipping",4.0 out of 5 stars,"4,695"
"Sony Wireless in-Ear Headphones with Mic for Phone Call, Black (WI-C310/B)","1,555.","Get it as soon as Wednesday, December 21EGP 21.00 shipping",4.4 out of 5 stars,"3,910"
Sony WF-C500 Truly Wireless Headset - Black,"2,599.","Get it Tuesday, December 20 - Wednesday, December 21EGP 21.00 shipping",4.0 out of 5 stars,159
Sony WF-1000XM4 Truly Wireless Noise Cancelling Headphone - Up to 24 hours battery life -Optimised for Alexa and Google Assistant-with built-in mic for calls - Bluetooth® multipoint connection* -Black,"7,999."," Get it as soon as tomorrow, Dec 18Fulfilled by Amazon - FREE Shipping",4.4 out of 5 stars,"7,151"
"Sony LinkBuds S WF-LS900N Truly Wireless Headphones With 6hr Battery Life, Quick Charging, built in Alexa and google assistant, Black","6,199."," Get it as soon as Monday, December 19Fulfilled by Amazon - FREE Shipping",3.5 out of 5 stars,13
Sony WH-1000XM5 Noise Cancelling Wireless Headphones - 30 hours battery life - Over-ear style - Optimised for Alexa and the Google Assistant - with built-in mic for phone calls - Black,"14,999."," Get it as soon as Monday, December 19Fulfilled by Amazon - FREE Shipping",4.4 out of 5 stars,112
"Sony WI-C100 Wireless in-Ear Bluetooth Headphones with Built-in Microphone, White, Small","1,099.","Get it Monday, December 19 - Tuesday, December 20EGP 21.00 shipping",3.9 out of 5 stars,"1,887"
Sony WI-C310 Wireless Headphone - Black,"1,231."," Get it as soon as Monday, December 19Fulfilled by Amazon - FREE Shipping",4.0 out of 5 stars,273
Sony MDRZX110APBLACK Wired Headphones - Black,481.," Get it as soon as tomorrow, Dec 18Fulfilled by Amazon - FREE Shipping",4.0 out of 5 stars,140
Sony WF-XB700 Extra BaSS True Wireless Earbuds,"1,399.","Get it Tuesday, December 20 - Wednesday, December 21EGP 21.00 shipping",2.3 out of 5 stars,5
"Sony WI-C200 Wireless In-Ear Headphone with Mic for Phone Call (WIC200/W, White)","1,222.","Get it as soon as Tuesday, December 20EGP 21.00 shipping",4.5 out of 5 stars,"9,741"
